Position (m) Run #3	Force (N) Run #3
1.45094E-7	-1.2
2.90075E-8	-0.2
8.70396E-8	-0.7
0.00000	0.0
8.70396E-8	-0.7
8.70396E-8	-0.7
5.80207E-8	-0.5
5.80207E-8	-0.5
5.80207E-8	-0.5
2.90075E-8	-0.2
8.70396E-8	-0.7
8.70396E-8	-0.7
8.70396E-8	-0.7
2.90075E-8	-0.2
-2.90018E-8	0.2
1.16064E-7	-1.0
8.70396E-8	-0.7
2.79675E-6	29.8
5.20140E-6	109.0
6.18069E-6	195.0
7.85455E-6	260.2
9.49369E-6	322.3
1.18891E-5	400.1
1.51214E-5	487.2
1.72558E-5	569.3
1.96820E-5	643.4
2.39541E-5	730.1
2.90835E-5	835.5
3.39057E-5	950.6
3.99057E-5	1072.2
4.54000E-5	1186.0
5.04922E-5	1288.8
5.65138E-5	1388.7
6.20862E-5	1486.9
6.79027E-5	1582.0
7.37297E-5	1677.6
7.95670E-5	1773.4
8.59117E-5	1871.6
9.30951E-5	1977.3
1.00796E-4	2084.9
1.09278E-4	2200.7
1.18153E-4	2320.3
1.27619E-4	2440.4
1.37171E-4	2558.9
1.47043E-4	2671.8
1.56961E-4	2783.9
1.67215E-4	2890.6
1.78319E-4	2993.8
1.89489E-4	3096.4
2.00984E-4	3193.9
2.13204E-4	3290.4
2.25281E-4	3379.0
2.35672E-4	3453.1
2.50061E-4	3535.7
2.67110E-4	3628.1
2.86415E-4	3715.0
3.04225E-4	3783.6
3.20995E-4	3836.8
3.37630E-4	3881.1
3.54147E-4	3916.0
3.71606E-4	3945.4
3.88758E-4	3968.8
4.07870E-4	3991.1
4.29744E-4	4009.4
4.53796E-4	4022.7
4.76280E-4	4029.7
4.94527E-4	4032.8
5.08419E-4	4034.2
5.26110E-4	4047.7
5.51071E-4	4055.9
5.83120E-4	4062.1
6.16075E-4	4063.4
6.38987E-4	4062.4
6.56054E-4	4063.8
6.71645E-4	4069.1
6.81103E-4	4058.5
6.87116E-4	4053.0
6.92949E-4	4062.6
7.03204E-4	4084.5
7.22245E-4	4096.6
7.46439E-4	4095.4
7.71294E-4	4093.7
7.94660E-4	4096.1
8.17975E-4	4099.5
8.41912E-4	4103.1
8.64072E-4	4104.3
8.86027E-4	4109.3
9.09135E-4	4116.6
9.36754E-4	4122.6
9.68285E-4	4126.7
0.00100	4132.0
0.00104	4138.9
0.00108	4141.6
0.00112	4144.7
0.00114	4148.1
0.00118	4155.1
0.00121	4158.9
0.00123	4163.0
0.00126	4166.6
0.00128	4169.0
0.00131	4175.0
0.00133	4175.3
0.00135	4177.5
0.00137	4180.6
0.00139	4188.0
0.00142	4198.2
0.00146	4199.4
0.00149	4195.7
0.00152	4202.0
0.00155	4200.3
0.00157	4204.2
0.00160	4207.8
0.00162	4210.2
0.00165	4212.8
0.00167	4215.7
0.00169	4219.8
0.00171	4222.7
0.00174	4226.6
0.00176	4230.9
0.00180	4233.5
0.00183	4237.2
0.00187	4239.3
0.00191	4239.6
0.00195	4239.6
0.00198	4242.0
0.00201	4244.1
0.00204	4247.5
0.00207	4251.8
0.00210	4254.5
0.00213	4256.4
0.00215	4257.9
0.00218	4259.1
0.00220	4260.7
0.00222	4264.6
0.00225	4271.8
0.00229	4271.3
0.00231	4262.4
0.00233	4268.0
0.00236	4275.9
0.00239	4272.8
0.00241	4275.9
0.00244	4275.2
0.00246	4278.3
0.00249	4281.2
0.00252	4284.3
0.00255	4282.4
0.00257	4280.5
0.00260	4284.6
0.00263	4287.5
0.00266	4290.1
0.00270	4293.0
0.00274	4292.8
0.00279	4288.4
0.00282	4285.3
0.00285	4290.6
0.00288	4293.2
0.00291	4297.1
0.00294	4295.2
0.00297	4295.2
0.00300	4296.9
0.00302	4297.6
0.00305	4299.5
0.00308	4304.1
0.00312	4307.4
0.00315	4303.1
0.00318	4294.0
0.00320	4299.0
0.00323	4307.0
0.00326	4305.3
0.00330	4307.2
0.00333	4302.6
0.00335	4301.2
0.00338	4303.1
0.00340	4304.3
0.00343	4310.3
0.00347	4308.9
0.00350	4308.6
0.00354	4306.2
0.00358	4306.0
0.00363	4303.4
0.00367	4300.0
0.00371	4298.1
0.00375	4299.3
0.00378	4297.8
0.00381	4297.6
0.00385	4294.2
0.00388	4290.4
0.00391	4285.1
0.00394	4279.3
0.00396	4279.0
0.00399	4277.6
0.00402	4265.1
0.00405	4256.2
0.00408	4245.6
0.00411	4238.4
0.00414	4228.2
0.00416	4216.0
0.00419	4201.3
0.00422	4188.3
0.00424	4176.0
0.00427	4160.8
0.00430	4140.9
0.00434	4113.2
0.00438	4082.1
0.00443	4042.9
0.00447	4000.5
0.00452	3953.3
0.00456	3900.6
0.00488	-63.3
0.00498	-101.8
0.00509	-103.3
0.00519	-103.5
0.00522	-104.2
0.00526	-104.2
0.00530	-104.2
0.00534	-104.0
0.00537	-104.0
0.00540	-104.0
0.00544	-103.8
0.00547	-104.2
0.00550	-103.5
0.00553	-103.8
0.00555	-103.3
0.00557	-103.5
0.00559	-103.3
0.00560	-103.5
0.00561	-103.3
0.00563	-103.0
0.00567	-103.5
0.00571	-103.0
0.00575	-102.5
0.00579	-103.3
0.00583	-103.0
0.00587	-102.8
0.00592	-102.8
0.00597	-103.0
0.00601	-103.0
0.00604	-102.8
0.00606	-102.8
0.00606	-102.8
0.00606	-102.8
0.00606	-102.5
0.00606	-102.5
0.00606	-102.3
0.00606	-102.8
0.00606	-102.5
0.00606	-102.3
0.00606	-102.5
0.00606	-102.8
0.00606	-102.5
0.00606	-102.8
0.00606	-103.3
0.00606	-102.3
0.00606	-102.5
0.00606	-102.8
0.00606	-102.5
0.00606	-102.8
0.00606	-102.5
0.00606	-102.8
0.00606	-102.8
0.00606	-102.8
0.00606	-102.5
0.00606	-102.5
0.00606	-102.8
0.00606	-103.0
0.00606	-102.8
0.00606	-102.3
0.00606	-102.8
0.00606	-102.1
0.00606	-102.8
0.00606	-102.8
0.00606	-103.0
0.00606	-102.5
0.00606	-102.5
0.00606	-102.5
0.00606	-102.8
0.00606	-102.3
0.00606	-102.3
0.00606	-102.8
0.00606	-102.5
0.00606	-102.8
0.00606	-103.0
0.00606	-102.8
