Date/Time,CPU Usage %,Temperature C
2022-03-21 23:31:40.436608,11.3,37.4
2022-03-21 23:31:50.790806,0.7,38.4
2022-03-21 23:32:01.100853,0.4,36.5
2022-03-21 23:32:11.427455,0.2,37
2022-03-21 23:32:21.682327,0.5,37
2022-03-21 23:32:31.991022,0.3,37
2022-03-21 23:32:42.307214,0.7,37
2022-03-21 23:32:52.624339,0.4,37
2022-03-21 23:33:02.946738,0.5,36
2022-03-21 23:33:13.276572,0.2,37
2022-03-21 23:33:23.608326,0.5,37
2022-03-21 23:33:33.932638,0.3,36
2022-03-21 23:33:44.255603,0.9,36.5
2022-03-21 23:33:54.536329,0.4,37
2022-03-21 23:34:04.832850,0.7,36.5
2022-03-21 23:34:15.048427,0.3,37
2022-03-21 23:34:25.264890,0.7,37
2022-03-21 23:34:35.497835,0.6,37
2022-03-21 23:34:45.856910,0.6,37
2022-03-21 23:34:56.093188,0.3,36.5
2022-03-21 23:35:06.361699,0.7,37.4
2022-03-21 23:35:16.796249,0.5,37
2022-03-21 23:35:27.080787,0.4,36
2022-03-21 23:35:37.396271,0.5,37
2022-03-21 23:35:47.748963,0.7,36.5
2022-03-21 23:35:57.974078,1.1,36.5
2022-03-21 23:36:08.201090,0.7,37
2022-03-21 23:36:18.500877,0.3,37
2022-03-21 23:36:28.820689,0.7,37.4
2022-03-21 23:36:39.142382,0.6,37.4
2022-03-21 23:36:49.388633,0.6,36.5
2022-03-21 23:36:59.636131,0.9,37.4
2022-03-21 23:37:09.949687,0.4,35.5
2022-03-21 23:37:20.180964,0.6,36.5
2022-03-21 23:37:30.500060,0.6,37.4
2022-03-21 23:37:40.803611,0.9,36.5
2022-03-21 23:37:51.029580,0.3,37
2022-03-21 23:38:01.248200,1,36
2022-03-21 23:38:11.558317,0.4,37
2022-03-21 23:38:21.787960,0.4,37
2022-03-21 23:38:32.061678,0.4,37
2022-03-21 23:38:42.295772,0.9,37.4
2022-03-21 23:38:52.623392,0.5,37.4
2022-03-21 23:39:02.920797,0.6,37
2022-03-21 23:39:13.223731,0.4,36.5
2022-03-21 23:39:23.523814,0.6,37.4
2022-03-21 23:39:33.842156,0.5,37
2022-03-21 23:39:44.068239,0.7,36.5
2022-03-21 23:39:54.309595,0.3,36.5
2022-03-21 23:40:04.616193,0.6,36
2022-03-21 23:40:14.848326,0.5,37
2022-03-21 23:40:25.291911,1.1,37
2022-03-21 23:40:35.518447,0.3,36.5
2022-03-21 23:40:45.879138,0.8,36
2022-03-21 23:40:56.116071,0.5,36
2022-03-21 23:41:06.376188,0.6,36
2022-03-21 23:41:16.591843,0.4,36
2022-03-21 23:41:26.821107,0.4,36.5
2022-03-21 23:41:37.061426,0.7,36.5
2022-03-21 23:41:47.420949,0.7,36.5
2022-03-21 23:41:57.752247,0.5,37
2022-03-21 23:42:08.111530,0.5,37.4
2022-03-21 23:42:18.347951,0.4,36.5
2022-03-21 23:42:28.593588,0.7,36.5
2022-03-21 23:42:38.911144,0.5,37
2022-03-21 23:42:49.209806,0.6,36.5
2022-03-21 23:42:59.531262,0.5,36.5
2022-03-21 23:43:09.755577,0.6,37
2022-03-21 23:43:19.977098,0.4,36.5
2022-03-21 23:43:30.196551,0.3,36.5
2022-03-21 23:43:40.412797,0.8,37
2022-03-21 23:43:50.643744,0.5,36
2022-03-21 23:44:00.947507,0.5,36.5
2022-03-21 23:44:11.183840,0.4,36.5
2022-03-21 23:44:21.405368,0.4,36
2022-03-21 23:44:31.691781,0.4,36.5
2022-03-21 23:44:41.900782,1,37
2022-03-21 23:44:52.116035,0.5,37
2022-03-21 23:45:02.334796,0.5,36
